StudBME1,STUDBME2,RehabLab,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,Dalia_iphone,Dalialab,Mikasa,Nada,YME,location
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-86,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-84,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-90,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-72,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-68,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-88,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-77,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-91,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-92,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-86,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-72,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-65,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-63,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-84,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-67,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-66,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-72,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-81,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-69,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,lecturesHall
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,elec_lab
-100,-45,-100,-100,-81,-84,-100,-100,-68,-100,-76,-100,elec_lab
-100,-60,-100,-100,-83,-74,-100,-100,-60,-100,-87,-100,elec_lab
